"","newcode","venue","period","score.diff.cat","strength.cat","season","Date","gcode","combocode","p1","p2","p3","p4","p5","ID.1","ID.2","ID.3","ID.4","ID.5","POS.1","POS.2","POS.3","POS.4","POS.5","NAME.1","NAME.2","NAME.3","NAME.4","NAME.5","TOI","p1G","p1A","p1A2","p1A3","p1A4","p1A5","p2G","p2A","p2A1","p2A3","p2A4","p2A5","p3G","p3A","p3A1","p3A2","p3A4","p3A5","p4G","p4A","p4A1","p4A2","p4A3","p4A5","p5G","p5A","p5A1","p5A2","p5A3","p5A4","CF","CA","FF","FA","SF","SA","GF","GA","SCF","SCA","HSCF","HSCA","OZS","NZS","DZS","team","TCF","TCA","TFF","TFA","TGF","TGA","TSCF","TSCA","THSCF","THSCA"
"1","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",2.62205755169839e+28,"bergepa85","marchbr88","erikslo85","mcquaad86",NA,332,3073,1344,3250,20000,"C","L","RL","D",NA,"PATRICE BERGERON","BRAD MARCHAND","LOUI ERIKSSON","ADAM MCQUAID",NA,0.333333333333333,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"2","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",5.26699352597461e+34,"krejcda86","charazd77",NA,NA,NA,2579,782,20000,20000,20000,"C","D",NA,NA,NA,"DAVID KREJCI","ZDENO CHARA",NA,NA,NA,0.858333333333333,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,1,0,0,0,1,0,0,0,0,0,1,"BOS",8,6,4,3,0,1,4,1,0,0
"3","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",8.95984344472292e+32,"pastrda96","charazd77","mcquaad86",NA,NA,3783,782,3250,20000,20000,"RL","D","D",NA,NA,"DAVID PASTRNAK","ZDENO CHARA","ADAM MCQUAID",NA,NA,0.858333333333333,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,1,0,0,0,1,0,0,0,0,0,1,"BOS",8,6,4,3,0,1,4,1,0,0
"4","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",1.07938395721977e+33,"campbgr83","seidede81","krugxto91",NA,NA,706,4469,2594,20000,20000,"CL","D","D",NA,NA,"GREGORY CAMPBELL","DENNIS SEIDENBERG","TOREY KRUG",NA,NA,0.116666666666667,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"5","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",1.2275136629521e+33,"connobr92","bartkma88","trotmza90",NA,NA,895,241,5065,20000,20000,"R","D","D",NA,NA,"BRETT CONNOLLY","MATT BARTKOWSKI","ZACH TROTMAN",NA,NA,0.341666666666667,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"6","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",1.15435370416843e+33,"campbgr83","soderca85","krugxto91",NA,NA,706,4679,2594,20000,20000,"CL","C","D",NA,NA,"GREGORY CAMPBELL","CARL SODERBERG","TOREY KRUG",NA,NA,0.266666666666667,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"7","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",2.63972142848691e+29,"krejcda86","pastrda96","krugxto91","mcquaad86",NA,2579,3783,2594,3250,20000,"C","RL","D","D",NA,"DAVID KREJCI","DAVID PASTRNAK","TOREY KRUG","ADAM MCQUAID",NA,0.691666666666667,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,1,0,1,0,1,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"8","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",2.75047010967107e+30,"soderca85","smithre91","seidede81","krugxto91",NA,4679,4652,4469,2594,20000,"C","RL","D","D",NA,"CARL SODERBERG","REILLY SMITH","DENNIS SEIDENBERG","TOREY KRUG",NA,0.116666666666667,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"9","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",1.25522359812728e+29,"pastrda96","lucicmi88","charazd77","mcquaad86",NA,3783,2937,782,3250,20000,"RL","L","D","D",NA,"DAVID PASTRNAK","MILAN LUCIC","ZDENO CHARA","ADAM MCQUAID",NA,0.858333333333333,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,1,0,0,0,1,0,0,0,0,0,1,"BOS",8,6,4,3,0,1,4,1,0,0
"10","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",5.13420144850514e+34,"charazd77","bartkma88",NA,NA,NA,782,241,20000,20000,20000,"D","D",NA,NA,NA,"ZDENO CHARA","MATT BARTKOWSKI",NA,NA,NA,0.258333333333333,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"11","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",5.13669742464476e+34,"bergepa85","charazd77",NA,NA,NA,332,782,20000,20000,20000,"C","D",NA,NA,NA,"PATRICE BERGERON","ZDENO CHARA",NA,NA,NA,1.16666666666667,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"12","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",6.41082869178805e+32,"bergepa85","marchbr88","erikslo85",NA,NA,332,3073,1344,20000,20000,"C","L","RL",NA,NA,"PATRICE BERGERON","BRAD MARCHAND","LOUI ERIKSSON",NA,NA,1.875,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,1,2,1,0,0,3,0,0,0,0,1,1,"BOS",8,6,4,3,0,1,4,1,0,0
"13","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",1.5889429597464e+33,"soderca85","smithre91","mcquaad86",NA,NA,4679,4652,3250,20000,20000,"C","RL","D",NA,NA,"CARL SODERBERG","REILLY SMITH","ADAM MCQUAID",NA,NA,0.525,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"14","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",5.48310236375262e+34,"charazd77","seidede81",NA,NA,NA,782,4469,20000,20000,20000,"D","D",NA,NA,NA,"ZDENO CHARA","DENNIS SEIDENBERG",NA,NA,NA,0.833333333333333,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"15","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",8.31690275028957e+32,"lucicmi88","krugxto91","mcquaad86",NA,NA,2937,2594,3250,20000,20000,"L","D","D",NA,NA,"MILAN LUCIC","TOREY KRUG","ADAM MCQUAID",NA,NA,0.691666666666667,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,1,0,1,0,1,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"16","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",8.32392786213751e+27,"soderca85","connobr92","charazd77","bartkma88",NA,4679,895,782,241,20000,"C","R","D","D",NA,"CARL SODERBERG","BRETT CONNOLLY","ZDENO CHARA","MATT BARTKOWSKI",NA,0.258333333333333,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"17","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",8.30725525361467e+32,"krejcda86","lucicmi88","mcquaad86",NA,NA,2579,2937,3250,20000,20000,"C","L","D",NA,NA,"DAVID KREJCI","MILAN LUCIC","ADAM MCQUAID",NA,NA,1.55,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,2,1,1,0,1,1,1,0,0,0,0,1,"BOS",8,6,4,3,0,1,4,1,0,0
"18","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",1.12531024989136e+33,"kellych80","soderca85","bartkma88",NA,NA,2396,4679,241,20000,20000,"LC","C","D",NA,NA,"CHRIS KELLY","CARL SODERBERG","MATT BARTKOWSKI",NA,NA,0.258333333333333,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"19","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",1.16376206044922e+28,"bergepa85","marchbr88","erikslo85","krugxto91",NA,332,3073,1344,2594,20000,"C","L","RL","D",NA,"PATRICE BERGERON","BRAD MARCHAND","LOUI ERIKSSON","TOREY KRUG",NA,0.708333333333333,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,0,0,2,0,0,0,0,1,1,"BOS",8,6,4,3,0,1,4,1,0,0
"20","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",1.23774821245349e+33,"marchbr88","seidede81","krugxto91",NA,NA,3073,4469,2594,20000,20000,"L","D","D",NA,NA,"BRAD MARCHAND","DENNIS SEIDENBERG","TOREY KRUG",NA,NA,0.708333333333333,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,0,0,2,0,0,0,0,1,1,"BOS",8,6,4,3,0,1,4,1,0,0
"21","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",5.28709565529342e+34,"bergepa85","mcquaad86",NA,NA,NA,332,3250,20000,20000,20000,"C","D",NA,NA,NA,"PATRICE BERGERON","ADAM MCQUAID",NA,NA,NA,0.333333333333333,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"22","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",1.15813760545076e+33,"soderca85","charazd77","krugxto91",NA,NA,4679,782,2594,20000,20000,"C","D","D",NA,NA,"CARL SODERBERG","ZDENO CHARA","TOREY KRUG",NA,NA,0.15,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"23","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",5.42239736799779e+34,"bergepa85","seidede81",NA,NA,NA,332,4469,20000,20000,20000,"C","D",NA,NA,NA,"PATRICE BERGERON","DENNIS SEIDENBERG",NA,NA,NA,1.54166666666667,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,1,2,1,0,0,3,0,0,0,0,1,1,"BOS",8,6,4,3,0,1,4,1,0,0
"24","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",2.25819359140473e+28,"bergepa85","marchbr88","charazd77","mcquaad86",NA,332,3073,782,3250,20000,"C","L","D","D",NA,"PATRICE BERGERON","BRAD MARCHAND","ZDENO CHARA","ADAM MCQUAID",NA,0.333333333333333,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"25","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",6.81279472895427e+32,"bergepa85","erikslo85","mcquaad86",NA,NA,332,1344,3250,20000,20000,"C","RL","D",NA,NA,"PATRICE BERGERON","LOUI ERIKSSON","ADAM MCQUAID",NA,NA,0.333333333333333,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"26","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",6.25567631121808e+29,"campbgr83","soderca85","seidede81","krugxto91",NA,706,4679,4469,2594,20000,"CL","C","D","D",NA,"GREGORY CAMPBELL","CARL SODERBERG","DENNIS SEIDENBERG","TOREY KRUG",NA,0.116666666666667,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"27","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",7.0414340502035e+32,"marchbr88","erikslo85","krugxto91",NA,NA,3073,1344,2594,20000,20000,"L","RL","D",NA,NA,"BRAD MARCHAND","LOUI ERIKSSON","TOREY KRUG",NA,NA,0.708333333333333,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,0,0,2,0,0,0,0,1,1,"BOS",8,6,4,3,0,1,4,1,0,0
"28","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",5.54454742474054e+34,"marchbr88","krugxto91",NA,NA,NA,3073,2594,20000,20000,20000,"L","D",NA,NA,NA,"BRAD MARCHAND","TOREY KRUG",NA,NA,NA,0.708333333333333,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,0,0,2,0,0,0,0,1,1,"BOS",8,6,4,3,0,1,4,1,0,0
"29","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",1.14822537300149e+33,"smithre91","charazd77","krugxto91",NA,NA,4652,782,2594,20000,20000,"RL","D","D",NA,NA,"REILLY SMITH","ZDENO CHARA","TOREY KRUG",NA,NA,0.15,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"30","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",5.40014484500569e+32,"campbgr83","charazd77","krugxto91",NA,NA,706,782,2594,20000,20000,"CL","D","D",NA,NA,"GREGORY CAMPBELL","ZDENO CHARA","TOREY KRUG",NA,NA,0.15,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"31","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",5.13733433558039e+34,"connobr92","bartkma88",NA,NA,NA,895,241,20000,20000,20000,"R","D",NA,NA,NA,"BRETT CONNOLLY","MATT BARTKOWSKI",NA,NA,NA,0.6,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"32","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",5.31376862177576e+34,"marchbr88","charazd77",NA,NA,NA,3073,782,20000,20000,20000,"L","D",NA,NA,NA,"BRAD MARCHAND","ZDENO CHARA",NA,NA,NA,1.16666666666667,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"33","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",1.45118328216737e+27,"bergepa85","marchbr88","erikslo85","charazd77",NA,332,3073,1344,782,20000,"C","L","RL","D",NA,"PATRICE BERGERON","BRAD MARCHAND","LOUI ERIKSSON","ZDENO CHARA",NA,1.16666666666667,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"34","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",5.2313218901184e+34,"bergepa85","krugxto91",NA,NA,NA,332,2594,20000,20000,20000,"C","D",NA,NA,NA,"PATRICE BERGERON","TOREY KRUG",NA,NA,NA,0.708333333333333,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,0,0,2,0,0,0,0,1,1,"BOS",8,6,4,3,0,1,4,1,0,0
"35","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",1.10778910339879e+33,"marchbr88","charazd77","seidede81",NA,NA,3073,782,4469,20000,20000,"L","D","D",NA,NA,"BRAD MARCHAND","ZDENO CHARA","DENNIS SEIDENBERG",NA,NA,0.833333333333333,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"36","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",1.06591673479234e+29,"krejcda86","pastrda96","charazd77","mcquaad86",NA,2579,3783,782,3250,20000,"C","RL","D","D",NA,"DAVID KREJCI","DAVID PASTRNAK","ZDENO CHARA","ADAM MCQUAID",NA,0.858333333333333,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,1,0,0,0,1,0,0,0,0,0,1,"BOS",8,6,4,3,0,1,4,1,0,0
"37","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",1.01021499546278e+33,"krejcda86","pastrda96","mcquaad86",NA,NA,2579,3783,3250,20000,20000,"C","RL","D",NA,NA,"DAVID KREJCI","DAVID PASTRNAK","ADAM MCQUAID",NA,NA,1.55,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,2,1,1,0,1,1,1,0,0,0,0,1,"BOS",8,6,4,3,0,1,4,1,0,0
"38","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",5.05849828251676e+32,"kellych80","connobr92","charazd77",NA,NA,2396,895,782,20000,20000,"LC","R","D",NA,NA,"CHRIS KELLY","BRETT CONNOLLY","ZDENO CHARA",NA,NA,0.258333333333333,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"39","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",7.43779237363e+32,"marchbr88","charazd77","mcquaad86",NA,NA,3073,782,3250,20000,20000,"L","D","D",NA,NA,"BRAD MARCHAND","ZDENO CHARA","ADAM MCQUAID",NA,NA,0.333333333333333,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"40","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",1.79464161793375e+33,"soderca85","smithre91","seidede81",NA,NA,4679,4652,4469,20000,20000,"C","RL","D",NA,NA,"CARL SODERBERG","REILLY SMITH","DENNIS SEIDENBERG",NA,NA,0.116666666666667,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"41","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",9.92785283536788e+28,"bergepa85","marchbr88","erikslo85","seidede81",NA,332,3073,1344,4469,20000,"C","L","RL","D",NA,"PATRICE BERGERON","BRAD MARCHAND","LOUI ERIKSSON","DENNIS SEIDENBERG",NA,1.54166666666667,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,1,2,1,2,1,0,0,3,0,0,0,0,1,1,"BOS",8,6,4,3,0,1,4,1,0,0
"42","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",1.01263044328846e+33,"bergepa85","charazd77","seidede81",NA,NA,332,782,4469,20000,20000,"C","D","D",NA,NA,"PATRICE BERGERON","ZDENO CHARA","DENNIS SEIDENBERG",NA,NA,0.833333333333333,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"43","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",5.5910143502157e+34,"connobr92","trotmza90",NA,NA,NA,895,5065,20000,20000,20000,"R","D",NA,NA,NA,"BRETT CONNOLLY","ZACH TROTMAN",NA,NA,NA,0.341666666666667,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"44","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",5.33217074488251e+34,"charazd77","mcquaad86",NA,NA,NA,782,3250,20000,20000,20000,"D","D",NA,NA,NA,"ZDENO CHARA","ADAM MCQUAID",NA,NA,NA,1.71666666666667,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,1,0,0,0,1,0,0,0,1,0,1,"BOS",8,6,4,3,0,1,4,1,0,0
"45","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",6.32988964289551e+34,"soderca85","smithre91",NA,NA,NA,4679,4652,20000,20000,20000,"C","RL",NA,NA,NA,"CARL SODERBERG","REILLY SMITH",NA,NA,NA,0.791666666666667,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"46","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",7.24864495818773e+32,"krejcda86","charazd77","mcquaad86",NA,NA,2579,782,3250,20000,20000,"C","D","D",NA,NA,"DAVID KREJCI","ZDENO CHARA","ADAM MCQUAID",NA,NA,0.858333333333333,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,1,0,0,0,1,0,0,0,0,0,1,"BOS",8,6,4,3,0,1,4,1,0,0
"47","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",8.92463799196818e+28,"bergepa85","marchbr88","charazd77","seidede81",NA,332,3073,782,4469,20000,"C","L","D","D",NA,"PATRICE BERGERON","BRAD MARCHAND","ZDENO CHARA","DENNIS SEIDENBERG",NA,0.833333333333333,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
"48","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",1.14174633851548e+33,"marchbr88","erikslo85","seidede81",NA,NA,3073,1344,4469,20000,20000,"L","RL","D",NA,NA,"BRAD MARCHAND","LOUI ERIKSSON","DENNIS SEIDENBERG",NA,NA,1.54166666666667,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,1,2,1,0,0,3,0,0,0,0,1,1,"BOS",8,6,4,3,0,1,4,1,0,0
"49","20142015.21201","away",1,3,"5v5","20142015","2015-04-08","21201",6.46055833442812e+34,"spoonry92","trotmza90",NA,NA,NA,4718,5065,20000,20000,20000,"CL","D",NA,NA,NA,"RYAN SPOONER","ZACH TROTMAN",NA,NA,NA,0.341666666666667,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"BOS",8,6,4,3,0,1,4,1,0,0
